fips,state,seat,county,lat,lon,label
46099,SD,Sioux Falls,Minnehaha County,43.546055555556,-96.731388888889,"Sioux Falls, SD"
46103,SD,Rapid City,Pennington County,44.081055555556,-103.22866666667,"Rapid City, SD"
47037,TN,Nashville,Davidson County,36.162222222222,-86.774444444444,"Nashville, TN"
47093,TN,Knoxville,Knox County,35.961666666667,-83.923333333333,"Knoxville, TN"
47157,TN,Memphis,Shelby County,35.146111111111,-90.051944444444,"Memphis, TN"
48029,TX,San Antonio,Bexar County,29.425,-98.493888888889,"San Antonio, TX"
48061,TX,Brownsville,Cameron County,25.930277777778,-97.484444444444,"Brownsville, TX"
48113,TX,Dallas,Dallas County,32.779166666667,-96.808888888889,"Dallas, TX"
48141,TX,El Paso,El Paso County,31.759166666667,-106.48861111111,"El Paso, TX"
48201,TX,Houston,Harris County,29.762777777778,-95.383055555556,"Houston, TX"
48303,TX,Lubbock,Lubbock County,33.585,-101.845,"Lubbock, TX"
48309,TX,Waco,McLennan County,31.549166666667,-97.147222222222,"Waco, TX"
48329,TX,Midland,Midland County,32.005,-102.09917,"Midland, TX"
48355,TX,Corpus Christi,Nueces County,27.742777777778,-97.401944444444,"Corpus Christi, TX"
48375,TX,Amarillo,Potter County,35.199166666667,-101.84527777778,"Amarillo, TX"
48453,TX,Austin,Travis County,30.3,-97.733333333333,"Austin, TX"
48479,TX,Laredo,Webb County,27.506111111111,-99.507222222222,"Laredo, TX"
49035,UT,Salt Lake City,Salt Lake County,40.75,-111.88333333333,"Salt Lake City, UT"
50007,VT,Burlington,Chittenden County,44.4876246,-73.2314828,"Burlington, VT"
51710,VA,(internal point),Norfolk city,36.923015,-76.244641,"Norfolk, VA"
51760,VA,(internal point),Richmond city,37.531399,-77.476009,"Richmond, VA"
51770,VA,(internal point),Roanoke city,37.278458,-79.958174,"Roanoke, VA"
53033,WA,Seattle,King County,47.605,-122.33,"Seattle, WA"
53063,WA,Spokane,Spokane County,47.657194444444,-117.4235,"Spokane, WA"
53077,WA,Yakima,Yakima County,46.601944444444,-120.50777777778,"Yakima, WA"
54039,WV,Charleston,Kanawha County,38.347222222222,-81.633333333333,"Charleston, WV"
55079,WI,Milwaukee,Milwaukee County,43.05,-87.95,"Milwaukee, WI"
56021,WY,Cheyenne,Laramie County,41.145555555556,-104.80194444444,"Cheyenne, WY"
56025,WY,Casper,Natrona County,42.834722222222,-106.325,"Casper, WY"
