fips,state,county,seat,lat,lon,origin,x,y,wx,wy,gc_km,road_km,hours,time_km,stretch,speed_kmh,detour,drift_km
01001,AL,Autauga County,Prattville,32.459135,-86.451305,capitol,-888237.235202349,-669587.4990975392,-1019087.4512027847,-768227.4405633401,1112.3456319631996,1319.814,12.762102623131849,1276.2102623131848,1.1473144907853663,103.41665781685391,1.1865143010186823,163.8646303499852
01003,AL,Baldwin County,Bay Minette,30.883446,-87.777183,capitol,-1030991.1079758923,-830742.3146683988,-1158786.3920701812,-933715.99629464,1324.0375591749528,1510.388,14.88157069728703,1488.157069728703,1.1239538179385318,101.49385644321468,1.140744074466564,164.11951055375016
01005,AL,Barbour County,Clayton,31.877504,-85.449024,capitol,-799592.5009026568,-742835.4322002375,-953617.0979430999,-885926.9794356636,1091.3993984018311,1285.8363,13.01634427318753,1301.634427318753,1.1926288664120352,98.78628538188747,1.1781537555205626,210.23502891692198
01007,AL,Bibb County,Centreville,32.95,-87.134708,capitol,-946793.3136041628,-608663.856778311,-1051857.1931879611,-676206.144241383,1125.561757183407,1280.5918000000001,12.50463235913417,1250.463235913417,1.110968125856161,102.40939223331706,1.1377357055951673,124.90147873000996
01009,AL,Blount County,Oneonta,33.942222222222,-86.478888888889,capitol,-875135.4360583416,-505134.0574628863,-975142.5469472144,-562858.8342425451,1010.4565539665435,1155.1958,11.259276416144942,1125.9276416144942,1.1142761528881864,102.59947063237007,1.1432414342460178,115.47108764795074
01011,AL,Bullock County,Union Springs,32.14,-85.712777777778,capitol,-822012.7998852873,-711533.4479779864,-957845.0903662306,-829109.7412013286,1087.1912852698422,1263.707,12.668426027307524,1266.8426027307523,1.165243522363519,99.75248679480835,1.162359390773029,179.65131746091006
01013,AL,Butler County,Greenville,31.831273,-86.627567,capitol,-911398.5883189547,-737439.1837427047,-1041524.4995686496,-842727.8543700596,1172.3753394322528,1354.3769,13.397624863134844,1339.7624863134845,1.142776072859305,101.0908212340479,1.155241716919673,167.38714688123187
01015,AL,Calhoun County,Anniston,33.663003,-85.826664,capitol,-817812.8319702939,-541894.9904444825,-942798.3656964942,-624712.2708252311,981.0545391588064,1152.3558,11.309881430322767,1130.9881430322766,1.1528290200889637,101.88929097969452,1.1746093147768053,149.93360387347022
01017,AL,Chambers County,LaFayette,32.898572,-85.400784,capitol,-785588.3871532119,-630152.3471347141,-920782.5656573314,-738597.0877857816,1007.0953751404948,1179.7763,11.804093320980376,1180.4093320980376,1.1720928933204213,99.94637181519799,1.1714643211775404,173.31395695754284
01019,AL,Cherokee County,Centre,34.159181,-85.674742,capitol,-798904.7091605278,-488246.6265853143,-913744.4820249347,-558430.3807376558,936.2870834796381,1078.7278000000001,10.708750947528005,1070.8750947528006,1.143746521390615,100.73329796216919,1.1521335913243533,134.5880112731624
01021,AL,Chilton County,Clanton,32.83981,-86.628188,capitol,-900768.6374415912,-625782.5781471719,-1012803.0962532617,-703615.2307977104,1096.8080840834928,1274.4723000000001,12.33225244953536,1233.225244953536,1.1243765092997424,103.34464893702514,1.1619829562661967,136.4171608700432
01023,AL,Choctaw County,Butler,32.091526,-88.220684,capitol,-1058549.604914926,-692240.4676833687,-1174529.7373955331,-768085.8893599532,1264.8020126344024,1440.8609,14.033802184227518,1403.3802184227518,1.109565136996984,102.67074318742873,1.1391987723034152,138.57820578834935
01025,AL,Clarke County,Grove Hill,31.706137,-87.774274,capitol,-1021115.3079000588,-739732.9973106727,-1169818.7850676032,-847459.1943666012,1260.904984262519,1471.5413,14.44528669155975,1444.528669155975,1.1456284868291278,101.86999617389445,1.1670516956998773,183.6236848934558
01027,AL,Clay County,Ashland,33.272206,-85.836925,capitol,-822631.1628225354,-585082.7830049547,-979135.6270842024,-696393.9898266557,1009.4770393701779,1196.6483,12.01528678514276,1201.528678514276,1.1902486452430072,99.5938192236651,1.1854140840554432,192.05163914409817
01029,AL,Cleburne County,Heflin,33.643754,-85.582701,capitol,-795431.9585283156,-546106.6773069587,-941101.7532781846,-646116.7997843368,964.8546541564895,1148.6798999999999,11.415513256033764,1141.5513256033764,1.1831329420298662,100.62446376581934,1.190521178554315,176.69667144688694
01031,AL,Coffee County,Elba,31.417263,-86.077442,capitol,-863512.0554807592,-788360.4138935289,-1036242.9120825169,-946058.4665593144,1169.2584026445916,1389.9763,14.031486004660435,1403.1486004660435,1.2000329416427082,99.0612326832904,1.1887674245968176,233.89019782145178
01033,AL,Colbert County,Tuscumbia,34.730839,-87.702854,capitol,-978211.5196261898,-405783.203339113,-1122654.705430275,-465701.34727845894,1059.036253034584,1234.1943,12.154140580401844,1215.4140580401845,1.1476604833474893,101.54517234975036,1.1653938158051858,156.37780500560066
01035,AL,Conecuh County,Evergreen,31.435025,-86.954905,capitol,-946605.0595156562,-778135.9338312474,-1073667.2011648165,-882584.5813985408,1225.380214553861,1408.6856,13.898621522221287,1389.8621522221288,1.1342293075363166,101.35433918736302,1.1495906195228371,164.48193766826782
01037,AL,Coosa County,Rockford,32.888181,-86.219575,capitol,-862126.5906893335,-624213.194780215,-992625.0497266746,-718699.1564815718,1064.3798057607708,1243.1238,12.254929485199845,1225.4929485199846,1.1513680942528381,101.43867424951797,1.1679325305420194,161.11314275921393
01039,AL,Covington County,Andalusia,31.309,-86.479,capitol,-902746.8193244995,-796661.8042084901,-1063545.4164844237,-938564.3817478656,1204.0024294349355,1430.2709,14.184611209373275,1418.4611209373275,1.1781214773819368,100.83257686011645,1.187930244186681,214.45869150239182
01041,AL,Crenshaw County,Luverne,31.7144,-86.2633,capitol,-878167.0193593092,-753776.5173242093,-1041334.7777015741,-893831.9075990147,1157.3056432765839,1361.3634,13.723387330731725,1372.3387330731725,1.1858049263354349,99.20024606107307,1.1763214047290778,215.03308979658877
01043,AL,Cullman County,Cullman,34.1775,-86.8447,capitol,-906204.7389540605,-475631.25275569287,-1029553.5520317589,-540372.1970127143,1023.4413112146425,1162.9663,11.627478780051845,1162.7478780051845,1.1361158331836438,100.01878498330956,1.1363292523532846,139.30656679054206
01045,AL,Dale County,Ozark,31.448169,-85.642009,capitol,-821867.4533021621,-788752.3296011463,-997456.6287367801,-957266.5719164222,1139.120866391542,1361.7708,13.824901503879014,1382.4901503879014,1.2136465858687095,98.50130213353869,1.1954576903799146,243.36928399635934
01047,AL,Dallas County,Selma,32.416388888889,-87.024722222222,capitol,-942467.9132931258,-668818.833972921,-1076319.3428268444,-763806.000924362,1155.6662149011697,1330.4648,13.197965505301477,1319.7965505301477,1.1420222669077629,100.80832530328762,1.151253521860357,164.13033562897797
01049,AL,DeKalb County,Fort Payne,34.453829,-85.706648,capitol,-798925.8786624232,-455344.1078079952,-883026.0111176643,-503276.58915842953,919.5764329907461,1045.4434,10.163770272420152,1016.3770272420152,1.105266501813714,102.85980221698416,1.136874937736166,96.80059425126903
01051,AL,Elmore County,Wetumpka,32.540972,-86.207726,capitol,-864560.7149093299,-662764.3727102354,-1007958.6197279295,-772691.9009868682,1089.3676346846933,1286.7333999999998,12.700525000701871,1270.052500070187,1.1658621567527947,101.31340239312082,1.181174618220076,180.68486538549388
01053,AL,Escambia County,Brewton,31.117706,-87.071164,capitol,-961090.5436244055,-812108.1539553856,-1099969.530517863,-929458.9680045106,1258.2585929629406,1449.0793999999999,14.40078796896787,1440.078796896787,1.1445014601535104,100.6250076817052,1.151654682196698,181.82020393384641
01055,AL,Etowah County,Gadsden,34.010147,-86.010356,capitol,-831275.6228475088,-501849.9332429397,-921696.7295339413,-556438.1168815969,971.0162288223903,1105.938,10.766374687666694,1076.6374687666694,1.1087739183024492,102.72148537305651,1.138949038309316,105.62123994427904
01057,AL,Fayette County,Fayette,33.692068,-87.832358,capitol,-1002772.500277346,-519361.7187457249,-1150848.6231712045,-596054.1586262434,1129.2870681146549,1322.6593,12.960451818785854,1296.0451818785855,1.147666716880353,102.05348690721091,1.1712339026499083,166.7581137639306
01059,AL,Franklin County,Russellville,34.510344,-87.728248,capitol,-983225.202246869,-429916.16065430647,-1119402.2261215693,-489459.69466844125,1073.107498587693,1239.9189,12.217332509802821,1221.733250980282,1.1385003390510213,101.4885122431698,1.1554470559863255,148.62575239258882
01061,AL,Geneva County,Geneva,31.0411132,-85.8764248,capitol,-848031.1571136996,-831795.9578791293,-1027585.3043286629,-1007912.6165903095,1187.8726190040993,1417.8948,14.393816034513414,1439.3816034513413,1.2117306017694933,98.50721980885261,1.1936421273762072,251.50898444724209
01063,AL,Greene County,Eutaw,32.840555555556,-87.889166666667,capitol,-1018377.9893578154,-612976.0403936785,-1108360.2202503285,-667137.6112197174,1188.6266677578706,1338.5075,12.936517963259309,1293.651796325931,1.0883583814976752,103.46737072537313,1.1260958014048705,105.02512856806025
01065,AL,Hale County,Greensboro,32.70234,-87.596216,capitol,-992691.7814943467,-631367.6720627738,-1104859.9927304776,-702708.4283053547,1176.461690992268,1341.3328999999999,13.093947986561478,1309.3947986561477,1.1129939960490847,102.43914985584414,1.14014158749927,132.93310766387967
01067,AL,Henry County,Abbeville,31.566388888889,-85.251388888889,capitol,-783709.2771378614,-778920.7100683908,-940868.261571035,-935119.432374419,1104.951448546675,1318.0815,13.265298483019361,1326.529848301936,1.2005322496718742,99.36312414584937,1.1928863496524227,221.5783997552609
01069,AL,Houston County,Dothan,31.227222222222,-85.407222222222,capitol,-801580.7040421427,-815199.7036803683,-959104.5078275868,-975399.8650876309,1143.2769489381203,1357.9226,13.679496897723125,1367.9496897723125,1.196516461774961,99.26699864422783,1.1877459798881131,224.67274083419224
01071,AL,Jackson County,Scottsboro,34.67231,-86.03415,capitol,-826671.1547330186,-428316.120739938,-918108.7857000645,-475691.9256911868,931.0423714060125,1059.9188000000001,10.340244438829464,1034.0244438829463,1.110609436949057,102.50423055956162,1.1384216578665105,102.98207247693378
01073,AL,Jefferson County,Birmingham,33.5175,-86.809444444444,capitol,-910268.0037112728,-549030.963820551,-992885.6956674419,-598862.0804349855,1063.0253232234072,1197.9551000000001,11.595075661865858,1159.5075661865858,1.090761942218475,103.31585018801226,1.1269299741302925,96.4822429631785
01075,AL,Lamar County,Vernon,33.756414,-88.111409,capitol,-1027708.1691201824,-509241.9176323115,-1192777.9013104148,-591035.9808590054,1146.9574584744594,1351.075,13.311809240386685,1331.1809240386685,1.160619266393054,101.49446822757758,1.177964352572442,184.22346556420936
01077,AL,Lauderdale County,Florence,34.820277777778,-87.662777777778,capitol,-973469.5792822753,-396303.7658863184,-1132370.1718262685,-460992.8990312709,1051.046952635175,1226.4788,12.226105917253902,1222.6105917253901,1.1632311845442036,100.31638923307142,1.1669115227678306,171.56363909021502
